Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Số lượng,Link
Business Intelligence Specialist,Lotte mart,Thoả thuận,Hồ Chí Minh,Hạn nộp hồ sơ: 31/12/2023,Trưởng nhóm,Bán lẻ / bán sỉMarketing / Truyền thông / Quảng cáo,3 năm,Toàn thời gian,"BA Degree in Marketing, Finance, Data Science, Business management or equivalent.At least 2+ years of industry experience with proven business impactHave excellent data skills & analytical thinkingProficiency in MS Office, PowerPoint, especially Excel. SQL, Tableau/Power BI, Data Studio knowledge & experience is preferredUnderstand the field of the Company, especially in retail & e-commerceGood at English, Can use Korean is a plusAbility to work under high pressure.",1 người,https://www.topcv.vn/viec-lam/business-intelligence-specialist/1088721.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên Quay Dựng Mỹ Phẩm,CÔNG TY TNHH THẨM MỸ LINH ANH SAIGON,8 - 12 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Marketing / Truyền thông / Quảng cáoMỹ phẩm / Trang sức,Dưới 1 năm,Toàn thời gian,"- Có ít nhất 01 năm kinh nghiệm tại vị trí.- Sử dụng tốt các công cụ, phần mềm dựng phim ...- Có khả năng tư duy và sáng tạo tốt.- Nhanh nhạy nắm bắt các xu hướng xã hội, văn hóa, giải trí thịnh hành.- Nhanh nhẹn, nhiệt tình, trung thực trong công việc ",1 người,https://www.topcv.vn/viec-lam/nhan-vien-quay-dung-my-pham/1177406.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên Editor,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU ĐỨC TÍN,8 - 12 triệu,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Marketing / Truyền thông / Quảng cáoThiết kế đồ họaNgành nghề khác,Dưới 1 năm,Toàn thời gian,"Đã có kinh nghiệm về EditCó khả năng làm việc đội nhóm, bền bỉ khi làm việc một mình. Tình thần cầu tiến, sẵn sàng học hỏi, có trách nhiệm trong công việc học tập.Phối hợp với các nhân sự khác trong dự án để hoàn chỉnh sản phẩm.",5 người,https://www.topcv.vn/viec-lam/nhan-vien-editor/1176663.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên Kinh Doanh,Công ty cổ phần ống thép cường phát dst,15 - 20 triệu,Bắc Giang,Hạn nộp hồ sơ: 27/12/2023,Nhân viên,Giáo dục / Đào tạoKinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"+ Nam/Nữ đều được ứng tuyển.+ Nhân viên kinh doanh (có lương) yêu cầu kinh nghiệm 1 năm+  có đam mê và định hướng theo ngành Sales, Tư vấn bán hàng+ Biết sử dụng cơ bản tin học văn phòng: Word, Excel, Powerpoint..., thành thạo MXH.+ Có mục tiêu và mong muốn phát triển rõ ràng, khai phá tối đa năng lực bản thân.+ Có khả năng giao tiếp, quảng giao, nhanh nhẹn và chủ động. ",2 người,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/1176791.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Giám Đốc Kinh Doanh,CHI NHÁNH KỸ THUẬT VIETTEL TÂY NINH - TỔNG CÔNG TY CỔ PHẦN CÔNG TRÌNH VIETTEL,Trên 20 triệu,Tây Ninh,Hạn nộp hồ sơ: 20/12/2023,Giám đốc,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoCông nghệ thông tin,Không yêu cầu kinh nghiệm,Toàn thời gian,"- Độ tuổi: không quá 40- Giới tính: Nam/Nữ- Trình độ: Đại học trở lên các chuyên ngành: QTKD, marketing, kinh tế, thương mại, ngoại thương, CNTT, ĐTVT, xây dựng,… và các chuyên ngành tương đương.",2 người,https://www.topcv.vn/viec-lam/giam-doc-kinh-doanh/875573.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Chuyên Viên Quay Dựng Ngành Ô Tô,CÔNG TY TNHH XUẤT NHẬP KHẨU MT GROUP,9 - 14 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoCông nghệ Ô tô,1 năm,Toàn thời gian,"Trình độ, kinh nghiệm:- Cao đẳng/Đại học các chuyên ngành vềTruyền thông, Đạo diễn, Marketing,... hoặc các chuyên ngành khác liên quan.- Kinh nghiệm: Từ 1 năm trở lên tại các vị trí tương đương, ưu tiên từng làm về ngành ô tô.Kiến thức, kỹ năng chuyên môn:- Nắm vững các kiến thức nền tẳng về marketing, quay dựng phim.- Thành thạo các thao tác, kỹ thuật quay chụp, dựng clip- Lập kế hoach, báo cáo theo giai đoạn.- Thành thạo tin học văn phòngKiến thức, kỹ năng mềm:- Giao tiếp tốt, có khả năng truyền đạt - thảo thuận ý tưởng trong công việc- Có khả năng tự học, tự tìm hiểu thông tin chuyên môn- Có khả năng làm việc đội nhóm và độc lập.- Năng động, không ngại khó khănThái độ, tư duy:- Tinh thần tiên phong, đóng góp xây dựng cải tiến công việc, hướng đến mục tiêu chung, cầu tiến, luôn hướng đến giải pháp. - Thẳng thắn, trung thực. - Có tinh thần chịu trách nhiệm cao, không đổ lỗi.- Chủ động, nhiệt tình, linh hoạt, có khả năng ứng biến nhanh nhạy khi có vấn đề phát sinh.Ngôn ngữ:- Tiếng Anh khá trở lên, có khả năng hiểu được các tài liệu và kiến thức chuyên ngành- Biết các ngôn ngữ khác là một lợi thế (tiếng Trung, tiếng Thái,...)Yêu cầu khác:- Có thể linh động di chuyển địa điểm làm việc và đi quay phim ở nhiều nơi.- Thời gian làm việc: Sáng thứ 2 đến trưa thứ 7 (8:30 - 12:00; 13:30 - 17:30)",2 người,https://www.topcv.vn/viec-lam/chuyen-vien-quay-dung-nganh-o-to/1177455.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Trưởng Nhóm Sàn Amazon,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ K-HAIR,Trên 10 triệu,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Trưởng nhóm,Marketing / Truyền thông / Quảng cáoLogistics,1 năm,Toàn thời gian,"Tốt nghiệp Cao đẳng trở lên ngành MKT, Thương mại điện tử, ...Có ít nhất 6 tháng kinh nghiệm làm chạy PCC, Marketing sàn Amazon Tiếng Anh: Viết khá/tốt, giao tiếp cơ bản. ",2 người,https://www.topcv.vn/viec-lam/truong-nhom-san-amazon/1177664.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Thực Tập Sinh Video Editor,TNHH MID Việt Nam,Trên 2 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 10/01/2024,Thực tập sinh,Thiết kế đồ họaMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Thực tập,"- Sinh viên năm cuối hoặc vừa Tốt nghiệp ngành Truyền thông đa phương tiện, Dựng phim, Thiết kế đồ họa,...hoặc các ngành khác có liên quan- Có tư duy về hình ảnh, nội dung, kỹ năng chỉnh sửa video hình ảnh tốt.- Tính thẩm mĩ cao, linh hoạt, sáng tạo.",2 người,https://www.topcv.vn/viec-lam/thuc-tap-sinh-video-editor/1177605.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên Kinh Doanh Thị Trường,CÔNG TY TNHH XUẤT NHẬP KHẨU & THƯƠNG MẠI THH,10 - 20 triệu,Hà Nội,Hạn nộp hồ sơ: 04/01/2024,Nhân viên,Kinh doanh / Bán hàngDịch vụ khách hàngMarketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"Kinh nghiệm từ 1 năm trở lênAm hiểu về chăm sóc khách hàng Khả năng chốt đơn hàng trực tiếpCó kiến thức về mỹ phẩm, hàng tiêu dùng, thực phẩm chức năng là một lợi thế",2 người,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thi-truong/1177454.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
"Creative Leader (Design, Edit Video, Leadership)",CÔNG TY TNHH OCANY VIỆT NAM,Thoả thuận,Hồ Chí Minh,Hạn nộp hồ sơ: 17/01/2024,Trưởng nhóm,Thiết kế đồ họaMarketing / Truyền thông / Quảng cáo,2 năm,Toàn thời gian,"● Sử dụng thành thạo công cụ: Ai, Ps và biết Pre/After Effect cơ bản là một lợi thế. ● Có trên 2 năm kinh nghiệm ở vị trí tương đương. ● Sử dụng tốt các dụng cụ thiết bị quay - chụp.● Kỹ năng tổ chức, giao tiếp, đào tạo/quản trị đội nhóm và quản lý thời gian",1 người,https://www.topcv.vn/viec-lam/creative-leader-design-edit-video-leadership/1177844.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Marketing Tổng Hợp (Tiếng Nhật),Công ty cổ phần ITS GLOBAL,15 - 20 triệu,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Marketing / Truyền thông / Quảng cáoKinh doanh / Bán hàngCông nghệ thông tin,2 năm,Toàn thời gian,"Ứng viên đã tốt nghiệp Đại học/Cao đẳng chuyên ngành liên quanCó từ 2 năm kinh nghiệm Marketing (Thực hiện chạy quảng cáo, viết content, design cơ bản)Tiếng Nhật tương đương từ N3 trở lênƯu tiên có kinh nghiệm bán hàng online hoặc support bán hàng onlineCó khả năng giao tiếp tốt, làm việc độc lập hoặc theo nhóm. Ưu tiên ứng viên đã độc lập thực hiện chiến dịch marketing bán hàng.",2 người,https://www.topcv.vn/viec-lam/marketing-tong-hop-tieng-nhat/1177802.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên Livestream,CÔNG TY TNHH SẢN XUẤT DƯỢC MỸ PHẨM TAMI NATURAL HOME,Thoả thuận,Long An,Hạn nộp hồ sơ: 20/12/2023,Trưởng nhóm,Kinh doanh / Bán hàngBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"- Có khả năng xây dựng plan công việc; ưu tiên người Hoa hoặc biết tiếng tiếng hoa- Ngoại hình ưa nhìn, hoạt ngôn, xử lý tình huống nhanh nhẹn- Yêu thích nhuộm tóc và có kiến thức về tóc- Có kinh nghiệm livestream- Năng động, cập nhật xu hướng, bắt trend liên tục- Ưu tiên ứng viên: có kinh nghiệm ở vị trí tương đương; có đam mê, sở thích, sở trường cá nhân; tính cách hài hước, lầy lội và ""chiến""",1 người,https://www.topcv.vn/viec-lam/nhan-vien-livestream/1176433.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Sales Marketing,HVCG Software,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 30/12/2023,Thực tập sinh,Marketing / Truyền thông / Quảng cáoBáo chí / Truyền hìnhIT phần mềmViệc làm IT,Dưới 1 năm,Thực tập,"- Tốt nghiệp Trung cấp, Cao đẳng, Đại học trở lên.- Nhanh nhẹn, hoạt ngôn, chăm chỉ.- Ưu tiên ứng viên có kinh nghiệm sales/ tư vấn/ bán hàng. Nếu chưa có kinh nghiệm sẽ được đào tạo bài bản.",20 người,https://www.topcv.vn/viec-lam/sales-marketing/863892.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên PR Marketing,Hệ thống Anh ngữ Quốc tế ASEM Việt Nam,8 - 10 triệu,Nghệ An,Hạn nộp hồ sơ: 30/12/2023,Nhân viên,Giáo dục / Đào tạoBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,Dưới 1 năm,Toàn thời gian,"- Yêu cầu sử dụng thành thạo các phần mềm thiết kế, chỉnh sửa ảnh, video.- Có khả năng và kinh nghiệm viết content truyền thông quảng cáo.- Luôn luôn cập nhật các xu hướng của giới trẻ để đưa ra các nội dung truyền thông quảng cáo hấp dẫn.",1 người,https://www.topcv.vn/viec-lam/nhan-vien-pr-marketing/361157.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên Content CEO Website,Công ty TNHH Công nghệ y tế TMSC Việt Nam,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Marketing / Truyền thông / Quảng cáoDịch vụ khách hàngY tế / Dược,1 năm,Toàn thời gian,"Yêu cầu:- Luôn luôn biết khiêm tốn để lắng nghe, tiếp thu và chân thật với chính mình và tất cả mọi người;- Có tinh thần trách nhiệm và tôn trọng với công việc mình làm;- Đã có kinh nghiệm viết bài SEO Website từ 1 năm trở lên và yêu thích công việc sáng tạo nội dung đọc;- Tư duy về từ ngữ linh hoạt,đa dạng và trình bày 1 cách khoa học;- Năm cuối đại học, hoặc đã tốt nghiệp cao đẳng, đại học ngành y tế cộng đồng, dược, marketing, ngữ văn,...;- Có hiểu biết về Marketing truyền thống và Digital;- Có Laptop và thao tác tin học văn phòng thành thạo.",2 người,https://www.topcv.vn/viec-lam/nhan-vien-content-ceo-website/1177691.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
"Kế Toán Tổng Hợp (Chuyên Tiền Lương, Hợp Đồng)",CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI YT GROUP,9 - 12 triệu,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Marketing / Truyền thông / Quảng cáoKinh doanh / Bán hàngKế toán / Kiểm toán,2 năm,Toàn thời gian,"Tốt nghiệp Đại học chuyên ngành kế toán.Từ 02 năm kinh nghiệm, đã thực hiện các chế độ tiền lương, thanh toán lương cho NLĐNắm vững kiến thức kế toán và thuế (chế độ kế toán, luật liên quan đến kế toán hiện hành) .Kỹ năng làm việc tỉ mỉ, chính xác và đảm bảo tính toàn vẹn của dữ liệu. Kỹ năng quản lý thời gian và làm việc hiệu quả trong môi trường có áp lựcCó tư duy về số liệu và phân tích số liệu",1 người,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-chuyen-tien-luong-hop-dong/1098296.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Thực Tập Kiến Trúc Diễn Họa 3D,Công ty cổ phần Công nghệ WES,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Thực tập sinh,Kiến trúcMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Thực tập,"- Học vấn: Đang học đại học (một trong các trường Kiến trúc, Xây dựng).- Ngoại ngữ: Tiêng Anh là một lợi thế.- Vi tính: Biết sử dụng phần mềm chuyên ngành, CAD, 3ds Max, SketchUp, Photoshop, Office,...Sẽ được đào tạo thêm.Kỹ năng:- Nhanh nhẹn hoạt bát, có tinh thần học hỏi và cầu tiến.- Có tinh thần kỷ luật, xây dựng team, chủ động trong công việc.",3 người,https://www.topcv.vn/viec-lam/thuc-tap-kien-truc-dien-hoa-3d/1177463.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên Thiết Kế (Designer),CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ TPD VIỆT NAM,8 - 12 triệu,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Thiết kế đồ họaMarketing / Truyền thông / Quảng cáoMỹ thuật / Nghệ thuật / Điện ảnh,1 năm,Toàn thời gian,"Biết tổ chức sự kiện/hội thảo là một lợi thếCó laptop cá nhânCó khả năng tư duy hình ảnh,biết PTS, AI, ID cơ bản hoặc các phần mềm thiết kế khác.Thành thạo phần mềm chuyên dụng như: Adobe Photoshop, illustrator, premiere pro...Cảm thụ màu sắc và tư duy về bố cục tốt.Kỹ năng tìm kiếm hình ảnh, thông tin và khai thác các công cụ tìm kiếm hiệu quả.Thành thạo kĩ năng quản lí thời gian, thực hiện KPI tốt",1 người,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-designer/1177617.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên Kinh Doanh,CÔNG TY CỔ PHẦN CHẾ TẠO MÁY DƯỢC PHẨM TIẾN ĐẠT,Trên 15 triệu,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoTư vấn,1 năm,Toàn thời gian,"- Ứng viên có kinh nghiệp trong công việc Bán hàng thiết bị máy sản xuất dược phẩm, thực phẩm- Giao tiếp tốt, năng động, trung thực, cầu tiến.- Thành thạo vi tính văn phòng.- Tốt nghiệp Cao Đẳng trở lên.- Yêu cầu đi công tác tỉnh (2- 3 ngày/ tuần- có phụ cấp công tác và xe cty đưa đón)- Khi đến phỏng vấn mang theo hồ sơ xin việc",3 người,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/1177611.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056445
Nhân Viên Editor Video,CÔNG TY TNHH THỜI TRANG QUỐC TẾ GLADIMAX,8 - 12 triệu,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Marketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"• Thành thạo phần mềm adobe, tốt nghiệp đại học hoặc khoá học liên quan tới ảnh, chụp ảnh.• Có đam mê trong việc tìm kiếm, cập nhật thông tin mới.• Yêu thích việc tạo ra các sản phẩm creative video.",5 người,https://www.topcv.vn/viec-lam/nhan-vien-editor-video/1177459.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
Nhân Viên Video Content,Jesmee - Trang sức Châu Âu,Trên 8 triệu,Hà Nội,Hạn nộp hồ sơ: 24/12/2023,Nhân viên,Marketing / Truyền thông / Quảng cáoKinh doanh / Bán hàngThời trang,1 năm,Toàn thời gian,"Kỹ năng chuyên môn              + Tốt nghiệp Cao đẳng, Đại học chuyên ngành marketing, báo chí tuyên truyền hoặc các ngành liên quan.              + Ưu tiên ứng viên có kinh nghiệm viết kịch bản video              + Có khả năng sử dụng cơ bản các phần mềm chỉnh sửa hình ảnh cơ bản (Photoshop, Canva,...).              + Có kỹ năng viết bài tốt, có kinh nghiệm viết bài PR              + Khả năng sáng tạo cao, tư duy nhạy bén, logicKỹ năng khác:              + Xử lý tình huống tốt              + Làm việc nhóm tốt              + Chủ động, xử lý Công việc độc lập tốt              + Có thể làm việc trong môi trường áp lực.Thái độ, Tố chất:             + Trung thực, cẩn thận, chịu khó trong Công việc, chịu khó tìm tòi, học hỏi.             + Học nhanh, tiếp cận nhanh với xu thế.",1 người,https://www.topcv.vn/viec-lam/nhan-vien-video-content/1176804.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
Trợ Lý Vận Hành Livestream,Công Ty TNHH Công Nghệ Smartup,8 - 10 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 30/06/2024,Nhân viên,Thư ký / Trợ lýMarketing / Truyền thông / Quảng cáoNgành nghề khác,1 năm,Toàn thời gian,"- Tuổi từ 22 tuổi và tốt nghiệp trung cấp trở lên.- Có kinh nghiệm hỗ trợ livestream.- Ưu tiên biết tiếng Trung.- Có khả năng xử lý các vấn đề xảy ra trong khi livestream.- Biết chỉnh sửa, cắt ghép video, sử dụng được các phần mềm cắt ghép cơ bản.- Siêng năng, trung thực, có trách nhiệm, nhiệt tình trong công việc và khả năng làm việc nhóm cao.",1 người,https://www.topcv.vn/viec-lam/tro-ly-van-hanh-livestream/1176813.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
Nhân Viên Truyền Thông Nội Bộ,CÔNG TY CỔ PHẦN DELIA BEAUTY,10 - 13 triệu,Hà Nội,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoSpa / Làm đẹp,2 năm,Toàn thời gian,"Có kinh nghiệm tại vị trí tương đương từ 1 năm trở lên.Có khả năng lập kế hoạch, thực thi, giám sát và triển khai.Kỹ năng Content writing tốt",1 người,https://www.topcv.vn/viec-lam/nhan-vien-truyen-thong-noi-bo/1177115.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
Content Marketing,CÔng ty Cổ phần thực phẩm dinh dưỡng Lolifood,10 - 18 triệu,Nghệ An,Hạn nộp hồ sơ: 21/12/2023,Nhân viên,Biên / Phiên dịchMarketing / Truyền thông / Quảng cáoMỹ thuật / Nghệ thuật / Điện ảnh,2 năm,Toàn thời gian,- Có máy tính cá nhân - Có kinh nghiệm 1 năm ở vị trí tương đương hoặc kết quả làm việc trong mảng tương đương - Kết quả làm việc trong quá khứ ,2 người,https://www.topcv.vn/viec-lam/content-marketing/970612.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
Giám Sát Kinh Doanh Hóa Mỹ Phẩm,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN SÓNG XANH,Thoả thuận,Sơn La & 44 nơi khác,Hạn nộp hồ sơ: 20/12/2023,Quản lý / Giám sát,Quản lý điều hànhKinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáo,3 năm,Toàn thời gian,"- Tuổi từ 22 đến 55.- Nhiệt tình, năng động, ham học hỏi.- Nắm vững chuyên môn, có khả năng làm việc độc lập và theo nhóm.- Kỹ năng giao tiếp tốt, có khả năng thuyết trình ý tưởng, phương án với khách hàng khi cần thiết.",10 người,https://www.topcv.vn/viec-lam/giam-sat-kinh-doanh-hoa-my-pham/1090318.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
Nhân Viên Digital Marketing,CÔNG TY CỔ PHẦN TẬP ĐOÀN QUỐC TẾ BALIOGO,7 - 15 triệu,Hà Nội,Hạn nộp hồ sơ: 31/12/2023,Nhân viên,Marketing / Truyền thông / Quảng cáoDược phẩm / Công nghệ sinh họcHàng tiêu dùng,1 năm,Toàn thời gian,"Có kinh nghiệm 1 năm ở vị trí nhân viên MKT (ưu tiên viết content và chạy Ads đa kênh).Ứng viên có kinh nghiệm trong lĩnh vực Dược phẩm, hàng tiêu dùng, hóa mỹ phẩm,... là một điểm cộng.Kỹ năng chạy quảng cáo, xây dựng brandTrung thực, nhiệt tình, có trách nhiệm trong công việc và với mọi người, cam kết với mục tiêu đã đặt ra.Tâm huyết, có tinh thần học hỏi và phát triển bản thân, gắn bó và yêu thích sự đổi mới, sáng tạo.Có laptop cá nhân",2 người,https://www.topcv.vn/viec-lam/nhan-vien-digital-marketing/1064381.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
Product Development Manager (Sản Phẩm Admicro),Công ty Cổ phần VCCorp,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 31/12/2023,Trưởng nhóm,Marketing / Truyền thông / Quảng cáo,3 năm,Toàn thời gian,"Tốt nghiệp Đại học chuyên ngành Quan hệ công chúng, Truyền thông và các ngành nghề liên quanƯu tiên 02 năm kinh nghiệm trong lĩnh vực truyền thông ở các AgencyCó khả năng phân tích, nghiên cứu và sáng tạo sản phẩm mớiCó khả năng lên kế hoạch chi tiết, định hướng chiến lược phát triển và kinh doanh cho hệ thống các sản phẩm của đội nhómCó khả năng giám sát và đánh giá chất lượng công việcƯu tiên tiếng Anh Tốt",1 người,https://www.topcv.vn/viec-lam/product-development-manager-san-pham-admicro/1177258.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
Nhân Viên Kinh Doanh Phần Mềm Website,CÔNG TY CỔ PHẦN CÔNG NGHỆ VINA SOFTWARE,Trên 7 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 31/12/2023,Nhân viên,Công nghệ thông tinIT phần mềmMarketing / Truyền thông / Quảng cáoViệc làm IT,Không yêu cầu kinh nghiệm,Toàn thời gian,"- Giọng nói dễ nghe, tự tin..- Kỹ năng giao tiếp qua điện thoại tốt.- Nhiệt tình, vui vẻ hỗ trợ khách hàng.- Kinh nghiệm sẽ được đào tạo thêm.",8 người,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-website/856611.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
Chuyên Viên Tư Vấn Bảo Hiểm,NEST BY AIA,Trên 20 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 20/12/2023,Nhân viên,Kinh doanh / Bán hàngGiáo dục / Đào tạoMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"Tốt nghiệp Cao đẳng, Đại học.Tuổi từ 23 tuổi. Giới tính: Nam/Nữ.Ngoại hình sáng, dễ nhìn. Tác phong chuyên nghiệp.Có kinh nghiệm làm việc từ trên 6 tháng.Giọng nói rõ ràng, không nói ngọng, nói lắp.Kỹ năng giao tiếp, lắng nghe, thuyết phục, giải quyết tình huống.Chủ động và có trách nhiệm trong công việc.Biết các tìm kiếm, khai thác và xây dựng nguồn khách hàng tiềm năng.Chịu được áp lực công việc, áp lực về doanh số.Giao tiếp tốt, có kinh nghiệm bán hàng và chăm sóc khách hàng.Ưu tiên có kinh nghiệm về: Bảo hiểm, Tài chính, Ngân hàng, Kinh Doanh, Dịch vụ khách hàng, Giáo dục... là lợi thế.",5 người,https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-bao-hiem/1146282.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056453
